,Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,"On the go, where do you typically purchase coffee?",What is your favorite coffee drink?,Do you usually add anything to your coffee?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
2066,J2kQlJ,18-24 years old,1,At home,"French press, Other",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Caramalized,Somewhat strong,Medium,Full caffeine,10.0,1.0,5.0,3.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,5.0,4.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom, Other",Yes,Yes,$10-$15,$15-$20,No,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Student,0,Democrat
2067,EPb20A,25-34 years old,1,At home,"Pour over, Espresso",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,8.0,2.0,4.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,It tastes good,Yes,Yes,$8-$10,More than $20,Yes,"More than $1,000",Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,0,Democrat
2068,BGbrD1,25-34 years old,1,"On the go, At the office, At home",Espresso,Drive-thru,Latte,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Full Bodied,Somewhat light,Dark,Full caffeine,1.0,4.0,5.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,Coffee C,Coffee D,Coffee C,I primarily work in person,$80-$100,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,No,$6-$8,$8-$10,Yes,$500-$1000,No,Female,Bachelor's degree,White/Caucasian,Employed full-time,1,No affiliation
2069,RzBABK,45-54 years old,Less than 1,At home,Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Full Bodied,Medium,Dark,Full caffeine,1.0,1.0,2.0,4.0,1.0,1.0,5.0,1.0,2.0,4.0,1.0,3.0,3.0,Coffee B,Coffee A,Coffee B,I primarily work in person,<$20,It tastes good,Yes,No,$2-$4,$4-$6,Yes,Less than $20,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Republican
2070,oAVqB5,25-34 years old,2,"At home, At the office, On the go",Pour over,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",Latte,"No - just black, Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Full Bodied,Somewhat strong,Light,Full caffeine,6.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$10-$15,No,$100-$300,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,0,No affiliation
2071,ylqB9p,45-54 years old,1,"At home, On the go","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew, Coffee extract (e.g. Cometeer), Other","National chain (e.g. Starbucks, Dunkin), Specialty coffee shop",Latte,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Chocolatey,Somewhat strong,Dark,Full caffeine,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,Coffee C,Coffee A,Coffee D,I primarily work in person,,It tastes good,Yes,No,$8-$10,$10-$15,No,$300-$500,Yes,Female,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Independent
2072,xdNAQE,45-54 years old,1,At the office,,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Juicy,Very strong,Light,Full caffeine,6.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,It tastes good,Yes,Yes,$15-$20,More than $20,No,"More than $1,000",Yes,Male,Some college or associate's degree,Asian/Pacific Islander,Employed full-time,0,Independent
2073,1r2LM4,25-34 years old,1,At home,Pour over,Don't purchase on the go,Cortado,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$10-$15,$10-$15,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2074,rlredX,25-34 years old,2,"At home, On the go, At the office, At a cafe","Coffee brewing machine (e.g. Mr. Coffee), Cold brew","Specialty coffee shop, Local cafe, National chain (e.g. Starbucks, Dunkin)",Latte,"Milk, dairy alternative, or coffee creamer","Half and half, Coffee creamer, Flavored coffee creamer, Almond milk, Oat milk",Don't add swetener,Nutty,Medium,Light,Full caffeine,2.0,2.0,5.0,3.0,2.0,1.0,5.0,2.0,1.0,4.0,3.0,3.0,3.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$20-$40,"I need the ritual, I need the caffeine, It tastes good",Yes,No,$8-$10,$10-$15,Yes,Less than $20,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Independent
2075,vNxlql,25-34 years old,2,"At home, At a cafe, At the office","Pod/capsule machine (e.g. Keurig/Nespresso), Pour over, Espresso",Don't purchase on the go,Latte,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,5.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$8-$10,$10-$15,Yes,$300-$500,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,Democrat
2076,XeBplg,25-34 years old,1,At home,"Pour over, Espresso, Other",Don't purchase on the go,Pourover,"No - just black, Milk, dairy alternative, or coffee creamer","Whole milk, Flavored coffee creamer",Don't add swetener,Caramalized,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,5.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,5.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$4-$6,$6-$8,Yes,$500-$1000,Yes,Female,Master's degree,White/Caucasian,Homemaker,0,
2077,EPb2do,25-34 years old,1,"At home, At the office, On the go","Espresso, Instant coffee, Cold brew, French press, Pour over",Drive-thru,Regular drip coffee,"No - just black, Milk, dairy alternative, or coffee creamer","Almond milk, Coffee creamer",Don't add swetener,Fruity,Somewhat light,Light,Half caff,6.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,More than $20,Yes,"More than $1,000",Yes,Male,Master's degree,Hispanic/Latino,Student,0,Democrat
2078,24xW0D,45-54 years old,2,"On the go, At home","Coffee brewing machine (e.g. Mr. Coffee), Pour over","National chain (e.g. Starbucks, Dunkin)",Pourover,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener","Half and half, Coffee creamer",Granulated Sugar,Sweet,Medium,Medium,Full caffeine,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,5.0,1.0,4.0,Coffee C,Coffee D,Coffee C,I primarily work in person,$20-$40,"I need the caffeine, I need the ritual",Yes,No,$6-$8,$6-$8,No,$100-$300,Yes,Male,High school graduate,White/Caucasian,Employed full-time,2,Democrat
2079,oAVqvP,35-44 years old,1,At home,Espresso,Don't purchase on the go,Cappuccino,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Sweet,Medium,Light,Full caffeine,9.0,3.0,4.0,4.0,5.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,5.0,Coffee A,Coffee D,Coffee D,,$20-$40,It tastes good,Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",Yes,,,,,0,
2080,J2kQMR,45-54 years old,1,At home,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Almond milk,Stevia,Chocolatey,Medium,Dark,Full caffeine,4.0,2.0,4.0,5.0,4.0,1.0,2.0,3.0,3.0,4.0,5.0,3.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"I need the caffeine, I need the ritual",Yes,Yes,$6-$8,$8-$10,No,$50-$100,Yes,Female,Master's degree,White/Caucasian,Employed part-time,More than 3,Independent
2081,lNlxDk,25-34 years old,2,"At home, At the office, At a cafe","Pour over, Other",Don't purchase on the go,Pourover,"No - just black, Milk, dairy alternative, or coffee creamer, Other",Half and half,Don't add swetener,Full Bodied,Medium,Medium,Full caffeine,6.0,3.0,2.0,3.0,1.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom, Other",Yes,Yes,$6-$8,$10-$15,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
2082,ylqBx6,45-54 years old,1,At home,Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Whole milk,Granulated Sugar,Sweet,Medium,Medium,Half caff,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,2.0,3.0,1.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$8-$10,Yes,$20-$50,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,
2083,GrBZqL,25-34 years old,1,At home,Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Iced coffee,No - just black,Don't add diary,Don't add swetener,Chocolatey,Medium,Dark,Full caffeine,6.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,Coffee C,Coffee D,Coffee C,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,No,$8-$10,$15-$20,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2084,lNlxzk,>65 years old,2,At home,Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat light,Dark,Full caffeine,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,4.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work from home,<$20,It tastes good,Yes,No,$2-$4,$4-$6,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Retired,3,Republican
2085,ZdRMve,25-34 years old,1,"At home, At a cafe",Cold brew,Don't purchase on the go,Iced coffee,"Milk, dairy alternative, or coffee creamer","Flavored coffee creamer, Oat milk",Don't add swetener,Sweet,Medium,Light,Full caffeine,5.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"I need the ritual, I need the caffeine, It tastes good",Yes,No,$4-$6,$6-$8,Yes,$20-$50,Yes,Male,Bachelor's degree,Hispanic/Latino,Employed part-time,0,Democrat
2086,jB9jga,25-34 years old,1,"At home, At a cafe","Pour over, Espresso, Cold brew",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,8.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"I need the ritual, I need the caffeine, It tastes good",Yes,Yes,$6-$8,$8-$10,No,$300-$500,Yes,Male,Master's degree,Asian/Pacific Islander,Employed full-time,0,No affiliation
2087,aBrRzB,18-24 years old,1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),Don't purchase on the go,Mocha,"Milk, dairy alternative, or coffee creamer",Skim milk,Don't add swetener,Bold,Somewhat strong,Medium,Full caffeine,4.0,1.0,5.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work in person,<$20,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$4-$6,No,$100-$300,Yes,Male,Master's degree,White/Caucasian,Employed part-time,0,Democrat
2088,oAVq0b,25-34 years old,1,"At home, At a cafe, At the office",Espresso,Don't purchase on the go,Cappuccino,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Whole milk,"Honey, Maple Syrup, Granulated Sugar",Nutty,Somewhat light,Medium,Full caffeine,7.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,3.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$40-$60,"It tastes good, I need the ritual",Yes,No,$8-$10,$8-$10,Yes,Less than $20,Yes,Female,Master's degree,White/Caucasian,Employed full-time,0,Democrat
2089,XeBpQg,25-34 years old,1,At home,Espresso,Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Nutty,Very strong,Medium,Half caff,7.0,2.0,5.0,5.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$4-$6,$6-$8,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,3,Republican
2090,pLPQ48,25-34 years old,2,"At the office, On the go, At home","Pour over, Cold brew, Other",Local cafe,Iced coffee,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Nutty,Somewhat strong,Medium,Full caffeine,6.0,3.0,4.0,3.0,2.0,1.0,5.0,3.0,2.0,4.0,3.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work in person,$80-$100,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,$50-$100,Yes,Prefer not to say,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2093,6dQgAY,25-34 years old,4,"At home, On the go",Pour over,Specialty coffee shop,Espresso,No - just black,Don't add diary,Don't add swetener,Juicy,Medium,Light,Full caffeine,8.0,2.0,1.0,5.0,3.0,2.0,4.0,4.0,1.0,4.0,2.0,4.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$80-$100,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Unemployed,0,Independent
2094,xdNAoy,25-34 years old,2,"At home, At a cafe","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Flavor syrup",Flavored coffee creamer,Don't add swetener,Chocolatey,Medium,Light,Full caffeine,2.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,<$20,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,No,$8-$10,$8-$10,Yes,Less than $20,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2095,ylqBoX,35-44 years old,Less than 1,At a cafe,,Don't purchase on the go,Iced coffee,"Flavor syrup, Milk, dairy alternative, or coffee creamer","Flavored coffee creamer, Almond milk, Whole milk",Don't add swetener,Chocolatey,Somewhat light,Light,Decaf,1.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,5.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work in person,<$20,It tastes good,Yes,Yes,$8-$10,$10-$15,Yes,Less than $20,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2096,eBxV8q,25-34 years old,1,At home,Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Regular drip coffee,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Oat milk,Raw Sugar (Turbinado),Bright,Medium,Light,Full caffeine,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,Coffee B,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,No,$8-$10,$10-$15,Yes,$100-$300,Yes,Non-binary,Master's degree,White/Caucasian,Employed full-time,0,Democrat
2097,oAVqa1,18-24 years old,Less than 1,At home,"Pour over, French press, Espresso",Don't purchase on the go,Latte,No - just black,Don't add diary,Don't add swetener,Sweet,Medium,Medium,Half caff,2.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,4.0,1.0,5.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work in person,<$20,It tastes good,Yes,No,$6-$8,$6-$8,No,Less than $20,Yes,Female,Some college or associate's degree,White/Caucasian,Employed full-time,0,Republican
2098,24xpyV,25-34 years old,3,At home,Espresso,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,5.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$80-$100,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$6-$8,No,"More than $1,000",,,,,,0,
2099,0EjKGN,25-34 years old,1,"At a cafe, At home, At the office, On the go","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)","Local cafe, Specialty coffee shop",Pourover,"No - just black, Milk, dairy alternative, or coffee creamer, Flavor syrup","Whole milk, Almond milk",Don't add swetener,Fruity,Medium,Light,Full caffeine,6.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$60-$80,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$6-$8,Yes,$300-$500,Yes,Male,Master's degree,Other,Employed full-time,0,No affiliation
2100,1r2LyW,>65 years old,4,At home,"Pour over, Espresso",Don't purchase on the go,Pourover,"No - just black, Milk, dairy alternative, or coffee creamer",Soy milk,Don't add swetener,Fruity,Medium,Light,Half caff,6.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$80-$100,It tastes good,Yes,Yes,$4-$6,$6-$8,No,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Retired,2,Democrat
2101,NABavG,25-34 years old,2,"At home, At a cafe",Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Medium,Full caffeine,6.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,Coffee C,Coffee D,Coffee C,I primarily work from home,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$8-$10,$10-$15,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2102,oAVq6P,45-54 years old,1,At home,Other,Don't purchase on the go,Cappuccino,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener","Half and half, Whole milk","Raw Sugar (Turbinado), Honey",Caramalized,Very strong,Dark,Full caffeine,3.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,5.0,1.0,Coffee C,Coffee A,Coffee C,I do a mix of both,,"It tastes good, I need the caffeine",Yes,Yes,$8-$10,,Yes,$20-$50,Yes,Non-binary,Master's degree,Black/African American,Employed full-time,1,No affiliation
2103,YZz1bq,25-34 years old,1,At home,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso), Coffee extract (e.g. Cometeer)",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Flavored coffee creamer,Don't add swetener,Chocolatey,Somewhat strong,Medium,Decaf,8.0,3.0,5.0,1.0,2.0,4.0,3.0,1.0,2.0,5.0,2.0,2.0,3.0,Coffee C,Coffee D,Coffee C,I do a mix of both,$40-$60,It tastes good,Yes,No,$6-$8,,No,$500-$1000,No,Prefer not to say,High school graduate,White/Caucasian,Employed part-time,0,Democrat
2104,EPb2gX,45-54 years old,1,At home,Pour over,Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Full Bodied,Very strong,Light,Full caffeine,7.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,Coffee B,Coffee A,Coffee C,I primarily work in person,$80-$100,"It tastes good, I need the ritual",Yes,Yes,More than $20,More than $20,Yes,$300-$500,Yes,Female,Master's degree,White/Caucasian,Employed full-time,0,No affiliation
2105,PAB78B,>65 years old,3,"At home, At a cafe",Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Full Bodied,Somewhat strong,Medium,Full caffeine,6.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,Coffee C,Coffee D,Coffee C,I primarily work from home,$60-$80,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$6-$8,Yes,$100-$300,Yes,Female,Doctorate or professional degree,White/Caucasian,Retired,1,Democrat
2106,8dpX8r,35-44 years old,1,At home,Other,Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Bright,Medium,Light,Full caffeine,5.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$4-$6,$8-$10,Yes,$100-$300,Yes,Male,Doctorate or professional degree,White/Caucasian,Student,0,Democrat
2107,WApLda,35-44 years old,Less than 1,"At home, At a cafe","Espresso, Pour over",Don't purchase on the go,Cortado,No - just black,Don't add diary,Don't add swetener,Bright,Medium,Light,Full caffeine,6.0,2.0,5.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"I need the caffeine, It tastes good",Yes,Yes,$8-$10,More than $20,Yes,"More than $1,000",Yes,Female,Master's degree,White/Caucasian,Employed full-time,0,Democrat
2108,0EjKy6,35-44 years old,2,"At the office, At home","French press, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Juicy,Somewhat strong,Light,Half caff,6.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,5.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$4-$6,$4-$6,No,$300-$500,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,0,Democrat
2109,YZz1A0,45-54 years old,Less than 1,At the office,,Don't purchase on the go,Espresso,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Chocolatey,,Medium,Decaf,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,Coffee B,Coffee A,Coffee A,I primarily work in person,<$20,It tastes good,No,No,$6-$8,$6-$8,No,Less than $20,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
2111,xdNA59,25-34 years old,1,"At the office, At a cafe, At home","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Latte,"No - just black, Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Chocolatey,Somewhat strong,Dark,Full caffeine,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,5.0,1.0,Coffee A,Coffee A,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual, I need the caffeine",Yes,No,$4-$6,$8-$10,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Democrat
2112,dY2Ooz,35-44 years old,2,"At home, At the office","Espresso, Pour over, Cold brew",Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Bright,Medium,Light,Full caffeine,7.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,Coffee B,Coffee D,Coffee D,I primarily work in person,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,$15-$20,Yes,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,0,No affiliation
2113,NABaRj,25-34 years old,2,"At home, At the office, At a cafe","Pour over, Coffee extract (e.g. Cometeer)",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,8.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,4.0,Coffee C,Coffee D,Coffee D,I primarily work in person,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,More than $20,More than $20,Yes,$500-$1000,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,1,Democrat
2114,QABbZl,>65 years old,2,At home,"Pour over, Espresso",Don't purchase on the go,Pourover,"Milk, dairy alternative, or coffee creamer","Soy milk, Oat milk",Don't add swetener,Caramalized,Medium,Light,Half caff,3.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,Yes,Yes,$4-$6,$4-$6,No,"More than $1,000",Yes,Female,Master's degree,White/Caucasian,Retired,2,Democrat
2115,5dqJoM,25-34 years old,3,"At home, On the go",Pour over,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Local cafe",Cortado,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Floral,Somewhat light,Light,Full caffeine,5.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$80-$100,It tastes good,Yes,Yes,$8-$10,$10-$15,No,$300-$500,Yes,Female,Bachelor's degree,White/Caucasian,Homemaker,0,Democrat
